SKU_ID,Category,Vendor,Week,Store_Location,Units_Sold,Unit_Cost,Lead_Time_Days
SKU_0359,Electronics,Vendor_1,42,Store_10,18,75.95,29
SKU_0062,Toys,Vendor_10,51,Store_13,16,14.5,7
SKU_0458,Home & Kitchen,Vendor_1,38,Store_15,5,109.42,22
SKU_0346,Clothing,Vendor_7,35,Store_12,25,98.35,7
SKU_0188,Electronics,Vendor_5,23,Store_9,25,188.68,16
SKU_0861,Electronics,Vendor_3,26,Store_11,0,102.47,16
SKU_0199,Health & Beauty,Vendor_9,14,Store_6,13,46.94,29
SKU_0473,Clothing,Vendor_9,18,Store_2,17,157.82,19
SKU_0801,Home & Kitchen,Vendor_6,49,Store_7,21,79.81,19
SKU_0066,Toys,Vendor_7,35,Store_15,0,77.42,20
SKU_0799,Home & Kitchen,Vendor_2,13,Store_2,16,75.27,21
SKU_0197,Home & Kitchen,Vendor_1,41,Store_8,13,78.5,5
SKU_0251,Electronics,Vendor_9,4,Store_15,28,120.51,14
SKU_0774,Clothing,Vendor_9,6,Store_1,18,107.43,28
SKU_0454,Health & Beauty,Vendor_8,42,Store_15,16,109.93,18
SKU_0185,Clothing,Vendor_10,16,Store_6,35,28.36,4
SKU_0967,Electronics,Vendor_7,44,Store_2,26,3.21,19
SKU_0670,Electronics,Vendor_2,31,Store_1,30,18.28,7
SKU_0246,Home & Kitchen,Vendor_3,35,Store_12,18,105.11,2
SKU_0698,Clothing,Vendor_5,10,Store_3,25,94.99,27
SKU_0651,Clothing,Vendor_3,31,Store_2,6,107.2,25
SKU_0377,Toys,Vendor_6,36,Store_1,28,190.16,20
SKU_0671,Home & Kitchen,Vendor_3,2,Store_5,0,182.31,7
SKU_0726,Electronics,Vendor_6,34,Store_3,21,10.88,28
SKU_0575,Health & Beauty,Vendor_4,47,Store_9,19,148.14,26
SKU_0260,Clothing,Vendor_9,30,Store_5,9,100.22,29
SKU_0914,Electronics,Vendor_5,27,Store_12,22,119.1,18
SKU_0253,Toys,Vendor_2,28,Store_12,18,76.45,28
SKU_0776,Electronics,Vendor_4,20,Store_13,8,18.71,19
SKU_0957,Health & Beauty,Vendor_8,47,Store_1,21,81.02,17
SKU_0466,Clothing,Vendor_5,11,Store_5,7,133.51,18
SKU_0379,Clothing,Vendor_8,16,Store_13,8,113.98,24
SKU_0972,Health & Beauty,Vendor_4,31,Store_13,30,168.73,7
SKU_0823,Clothing,Vendor_2,47,Store_14,16,35.14,13
SKU_0809,Electronics,Vendor_2,28,Store_7,23,69.27,3
SKU_0184,Clothing,Vendor_10,49,Store_3,37,191.33,11
SKU_0932,Electronics,Vendor_10,30,Store_10,11,174.67,27
SKU_0730,Electronics,Vendor_7,23,Store_11,25,79.19,21
SKU_0787,Clothing,Vendor_3,11,Store_13,15,17.37,2
SKU_0941,Clothing,Vendor_1,29,Store_14,33,198.13,19
SKU_0312,Home & Kitchen,Vendor_2,31,Store_4,9,108.66,26
SKU_0212,Toys,Vendor_5,12,Store_8,20,9.04,13
SKU_0281,Clothing,Vendor_3,42,Store_4,27,137.69,18
SKU_0480,Health & Beauty,Vendor_2,49,Store_3,7,174.68,14
SKU_0761,Home & Kitchen,Vendor_4,37,Store_4,24,120.54,6
SKU_0988,Toys,Vendor_7,21,Store_1,5,45.42,20
SKU_0147,Toys,Vendor_1,22,Store_12,6,158.83,4
SKU_0577,Clothing,Vendor_9,32,Store_11,38,169.06,9
SKU_0400,Clothing,Vendor_6,16,Store_14,11,182.06,11
SKU_0371,Clothing,Vendor_9,1,Store_10,14,100.24,26
