SKU_ID,Category,Vendor,Week,Store_Location,Units_Sold,Unit_Cost,Lead_Time_Days
SKU_0359,Electronics,Vendor_1,42,Store_10,18.0,75.95,29
SKU_0062,Toys,Vendor_10,51,Store_13,16.0,14.5,7
SKU_0458,Home & Kitchen,Vendor_1,38,Store_15,5.0,109.42,22
SKU_0346,Clothing,Vendor_7,35,Store_12,25.0,98.35,7
SKU_0188,Electronics,Vendor_5,23,Store_9,25.0,188.68,16
SKU_0861,Electronics,Vendor_3,26,Store_11,0.0,102.47,16
SKU_0199,Health & Beauty,Vendor_9,14,Store_6,13.0,46.94,29
SKU_0473,Clothing,Vendor_9,18,Store_2,17.0,157.82,19
SKU_0801,Home & Kitchen,Vendor_6,49,Store_7,21.0,79.81,19
SKU_0066,Toys,Vendor_7,35,Store_15,0.0,77.42,20
SKU_0799,Home & Kitchen,Vendor_2,13,Store_2,16.0,75.27,21
SKU_0197,Home & Kitchen,Vendor_1,41,Store_8,13.0,78.5,5
SKU_0251,Electronics,Vendor_9,4,Store_15,28.0,120.51,14
SKU_0774,Clothing,Vendor_9,6,Store_1,18.0,107.43,28
SKU_0454,Health & Beauty,Vendor_8,42,Store_15,16.0,109.93,18
SKU_0185,Clothing,Vendor_10,16,Store_6,35.0,28.36,4
SKU_0967,Electronics,Vendor_7,44,Store_2,26.0,3.21,19
SKU_0670,Electronics,Vendor_2,31,Store_1,30.0,18.28,7
SKU_0246,Home & Kitchen,Vendor_3,35,Store_12,18.0,105.11,2
SKU_0698,Clothing,Vendor_5,10,Store_3,25.0,94.99,27
SKU_0651,Clothing,Vendor_3,31,Store_2,6.0,107.2,25
SKU_0377,Toys,Vendor_6,36,Store_1,28.0,190.16,20
SKU_0671,Home & Kitchen,Vendor_3,2,Store_5,0.0,182.31,7
SKU_0726,Electronics,Vendor_6,34,Store_3,21.0,10.88,28
SKU_0575,Health & Beauty,Vendor_4,47,Store_9,19.0,148.14,26
SKU_0260,Clothing,Vendor_9,30,Store_5,9.0,100.22,29
SKU_0914,Electronics,Vendor_5,27,Store_12,22.0,119.1,18
SKU_0253,Toys,Vendor_2,28,Store_12,18.0,76.45,28
SKU_0776,Electronics,Vendor_4,20,Store_13,8.0,18.71,19
SKU_0957,Health & Beauty,Vendor_8,47,Store_1,21.0,81.02,17
SKU_0466,Clothing,Vendor_5,11,Store_5,7.0,133.51,18
SKU_0379,Clothing,Vendor_8,16,Store_13,8.0,113.98,24
SKU_0972,Health & Beauty,Vendor_4,31,Store_13,30.0,168.73,7
SKU_0823,Clothing,Vendor_2,47,Store_14,16.0,35.14,13
SKU_0809,Electronics,Vendor_2,28,Store_7,23.0,69.27,3
SKU_0184,Clothing,Vendor_10,49,Store_3,37.0,191.33,11
SKU_0932,Electronics,Vendor_10,30,Store_10,11.0,174.67,27
SKU_0730,Electronics,Vendor_7,23,Store_11,25.0,79.19,21
SKU_0787,Clothing,Vendor_3,11,Store_13,15.0,17.37,2
SKU_0941,Clothing,Vendor_1,29,Store_14,33.0,198.13,19
SKU_0312,Home & Kitchen,Vendor_2,31,Store_4,9.0,108.66,26
SKU_0212,Toys,Vendor_5,12,Store_8,20.0,9.04,13
SKU_0281,Clothing,Vendor_3,42,Store_4,27.0,137.69,18
SKU_0480,Health & Beauty,Vendor_2,49,Store_3,7.0,174.68,14
SKU_0761,Home & Kitchen,Vendor_4,37,Store_4,24.0,120.54,6
SKU_0988,Toys,Vendor_7,21,Store_1,5.0,45.42,20
SKU_0147,Toys,Vendor_1,22,Store_12,6.0,158.83,4
SKU_0577,Clothing,Vendor_9,32,Store_11,38.0,169.06,9
SKU_0400,Clothing,Vendor_6,16,Store_14,11.0,182.06,11
SKU_0371,Clothing,Vendor_9,1,Store_10,14.0,100.24,26
SKU_0640,Health & Beauty,Vendor_8,25,Store_14,33.0,16.7,28
SKU_0501,Toys,Vendor_4,41,Store_15,21.0,80.68,25
SKU_0411,Clothing,Vendor_10,36,Store_2,21.0,10.83,19
SKU_0752,Toys,Vendor_10,26,Store_1,33.0,110.82,21
SKU_0671,Home & Kitchen,Vendor_3,30,Store_7,8.0,182.31,7
SKU_0336,Clothing,Vendor_1,37,Store_3,13.0,37.9,6
SKU_0830,Electronics,Vendor_8,43,Store_5,20.0,43.36,4
SKU_0624,Toys,Vendor_10,8,Store_13,38.0,168.21,11
SKU_0168,Home & Kitchen,Vendor_10,10,Store_6,29.0,14.79,11
SKU_0618,Clothing,Vendor_10,44,Store_13,12.0,193.32,22
SKU_0797,Health & Beauty,Vendor_7,36,Store_12,11.0,178.15,23
SKU_0072,Health & Beauty,Vendor_6,51,Store_4,20.0,188.59,2
SKU_0404,Health & Beauty,Vendor_7,17,Store_12,13.0,46.59,2
SKU_0083,Health & Beauty,Vendor_8,7,Store_15,9.0,135.51,12
SKU_0582,Health & Beauty,Vendor_5,36,Store_9,8.0,64.35,21
SKU_0749,Electronics,Vendor_3,23,Store_13,22.0,133.21,20
SKU_0223,Home & Kitchen,Vendor_5,21,Store_5,28.0,166.45,8
SKU_0234,Toys,Vendor_6,20,Store_3,35.0,52.57,17
SKU_0797,Health & Beauty,Vendor_7,51,Store_14,25.0,178.15,23
SKU_0516,Home & Kitchen,Vendor_4,12,Store_5,18.0,112.45,9
SKU_0998,Electronics,Vendor_3,6,Store_1,,111.82,29
SKU_0566,Toys,Vendor_3,10,Store_2,30.0,19.26,6
SKU_0548,Clothing,Vendor_3,41,Store_1,35.0,43.53,28
SKU_0785,Health & Beauty,Vendor_1,14,Store_1,32.0,170.66,8
SKU_0392,Health & Beauty,Vendor_2,30,Store_6,13.0,93.42,12
SKU_0633,Toys,Vendor_6,24,Store_3,19.0,25.81,26
SKU_0655,Health & Beauty,Vendor_6,15,Store_15,13.0,55.02,8
SKU_0444,Home & Kitchen,Vendor_2,22,Store_3,31.0,68.98,10
SKU_0769,Health & Beauty,Vendor_8,19,,25.0,106.94,29
SKU_0080,Toys,Vendor_8,17,Store_7,2.0,80.64,24
SKU_0401,Home & Kitchen,Vendor_5,28,Store_8,6.0,156.48,9
SKU_0198,Electronics,Vendor_5,49,Store_5,20.0,91.12,27
SKU_0040,Clothing,Vendor_3,44,Store_2,25.0,83.08,7
SKU_0499,Electronics,Vendor_6,7,Store_14,27.0,75.64,6
SKU_0107,Home & Kitchen,Vendor_7,8,Store_12,29.0,26.11,29
SKU_0265,Toys,Vendor_3,9,Store_4,34.0,176.1,13
SKU_0411,Clothing,Vendor_10,33,Store_13,31.0,10.83,19
SKU_0818,Electronics,Vendor_1,42,Store_5,9.0,107.15,21
SKU_0578,Toys,Vendor_6,27,Store_10,26.0,52.29,8
SKU_0642,Health & Beauty,Vendor_2,12,Store_11,22.0,146.59,6
SKU_0603,Health & Beauty,Vendor_9,34,Store_8,41.0,130.85,28
SKU_0565,Toys,Vendor_7,3,Store_6,30.0,24.36,14
SKU_0427,Electronics,Vendor_8,37,Store_10,9.0,64.41,29
SKU_0398,Home & Kitchen,Vendor_3,31,Store_1,7.0,11.87,9
SKU_0320,Home & Kitchen,Vendor_8,40,Store_14,17.0,136.32,6
SKU_0197,Home & Kitchen,Vendor_1,4,Store_12,3.0,78.5,5
SKU_0681,Health & Beauty,Vendor_1,48,Store_13,35.0,135.93,14
SKU_0538,Home & Kitchen,Vendor_3,52,Store_2,9.0,145.59,28
SKU_0632,Electronics,Vendor_3,5,Store_15,3.0,45.25,23
SKU_0101,Toys,Vendor_10,24,Store_3,5.0,179.86,11
SKU_0868,Health & Beauty,Vendor_1,37,Store_2,19.0,199.94,10
SKU_0125,Electronics,Vendor_2,7,Store_3,9.0,39.97,3
SKU_0822,Toys,Vendor_10,41,Store_3,36.0,22.84,18
SKU_0248,Electronics,Vendor_4,36,Store_11,17.0,33.01,26
SKU_0494,Electronics,Vendor_7,7,Store_13,16.0,20.64,3
SKU_0542,Clothing,Vendor_5,49,Store_3,30.0,131.91,4
SKU_0974,Health & Beauty,Vendor_1,24,,13.0,96.7,5
SKU_0612,Electronics,Vendor_2,29,Store_11,15.0,83.73,8
SKU_0270,Toys,Vendor_6,52,Store_1,20.0,195.72,10
SKU_0291,Home & Kitchen,Vendor_2,40,Store_9,23.0,22.97,28
SKU_0909,Electronics,Vendor_5,7,Store_10,25.0,145.69,15
SKU_0427,Electronics,Vendor_8,20,Store_1,11.0,64.41,29
SKU_0793,Toys,Vendor_2,19,Store_8,33.0,91.12,24
SKU_0301,Health & Beauty,Vendor_5,3,Store_15,11.0,176.53,29
SKU_0631,Health & Beauty,Vendor_8,52,Store_5,19.0,91.07,11
SKU_0499,Electronics,Vendor_6,1,Store_4,10.0,75.64,6
SKU_0271,Home & Kitchen,Vendor_2,5,Store_3,18.0,150.14,24
SKU_0168,Home & Kitchen,Vendor_10,22,Store_11,21.0,14.79,11
SKU_0494,Electronics,Vendor_7,25,Store_8,12.0,20.64,3
